,index,level_0,level_1,Bldg:,Room:,Days:,Time:,Class Enrl Tot:,start_time,end_time
3888,3888,GNET, 703,Bioinformatics,1131,F,12:00 - 13:00,26,1900-01-01 12:00:00,1900-01-01 13:00:00
3868,3868,SPHS, 774,Bondurant Hall,2030,F,09:00 - 12:00,26,1900-01-01 09:00:00,1900-01-01 12:00:00
2507,2507,POLI, 100,Caldwell,0103,F,08:00 - 08:50,16,1900-01-01 08:00:00,1900-01-01 08:50:00
2508,2508,POLI, 100,Caldwell,0103,F,09:05 - 09:55,19,1900-01-01 09:20:00,1900-01-01 10:10:00
2509,2509,POLI, 100,Caldwell,0103,F,10:10 - 11:00,18,1900-01-01 10:40:00,1900-01-01 11:30:00
2268,2268,PHIL, 155H,Caldwell,0103,MWF,11:15 - 12:05,24,1900-01-01 12:00:00,1900-01-01 12:50:00
2270,2270,PHIL, 160,Caldwell,0103,MWF,12:20 - 13:10,34,1900-01-01 13:20:00,1900-01-01 14:10:00
2279,2279,PHIL, 163,Caldwell,0103,MWF,13:25 - 14:15,29,1900-01-01 14:40:00,1900-01-01 15:30:00
2266,2266,PHIL, 154,Caldwell,0105,MWF,10:10 - 11:00,41,1900-01-01 10:10:00,1900-01-01 11:00:00
2645,2645,NSCI, 222,Caldwell,0105,MWF,12:20 - 13:10,59,1900-01-01 12:20:00,1900-01-01 13:10:00
2318,2318,PHIL, 790,Caldwell,0105,F,15:00 - 17:00,15,1900-01-01 15:00:00,1900-01-01 17:00:00
2938,2938,ITAL, 203,Caldwell,0208,MWF,09:05 - 09:55,17,1900-01-01 09:05:00,1900-01-01 09:55:00
2904,2904,FREN, 203,Caldwell,0208,MWF,10:10 - 11:00,18,1900-01-01 10:25:00,1900-01-01 11:15:00
2922,2922,FREN, 372,Caldwell,0208,MWF,11:15 - 12:05,7,1900-01-01 11:45:00,1900-01-01 12:35:00
2907,2907,FREN, 203,Caldwell,0208,MWF,12:20 - 13:10,17,1900-01-01 13:05:00,1900-01-01 13:55:00
2900,2900,FREN, 105,Caldwell,0208,MWF,13:25 - 14:15,17,1900-01-01 14:25:00,1900-01-01 15:15:00
3680,3680,EDUC, 793,Carolina Ctr Educ Ex,C105,F,09:00 - 11:50,15,1900-01-01 09:00:00,1900-01-01 11:50:00
3673,3673,EDUC, 744,Carolina Ctr Educ Ex,C106,F,09:05 - 11:55,15,1900-01-01 09:05:00,1900-01-01 11:55:00
802,802,COMM, 120,Carolina Hall,0104,F,08:00 - 08:50,15,1900-01-01 08:00:00,1900-01-01 08:50:00
3138,3138,MNGT, 120,Carolina Hall,0104,F,08:00 - 08:50,4,1900-01-01 09:20:00,1900-01-01 10:10:00
2272,2272,PHIL, 160,Carolina Hall,0104,F,09:05 - 09:55,25,1900-01-01 10:40:00,1900-01-01 11:30:00
2803,2803,JWST, 211,Carolina Hall,0104,MWF,10:10 - 11:00,4,1900-01-01 12:00:00,1900-01-01 12:50:00
2860,2860,RELI, 211,Carolina Hall,0104,MWF,10:10 - 11:00,21,1900-01-01 13:20:00,1900-01-01 14:10:00
747,747,CHEM, 791,Carolina Hall,0104,F,11:00 - 12:15,17,1900-01-01 14:40:00,1900-01-01 15:55:00
314,314,ASIA, 133,Carolina Hall,0104,F,12:20 - 13:10,2,1900-01-01 16:25:00,1900-01-01 17:15:00
1794,1794,HIST, 133,Carolina Hall,0104,F,12:20 - 13:10,16,1900-01-01 17:45:00,1900-01-01 18:35:00
2481,2481,PLCY, 698,Carolina Hall,0104,F,13:25 - 14:15,15,1900-01-01 19:05:00,1900-01-01 19:55:00
1771,1771,HIST, 127,Carolina Hall,0104,F,14:30 - 15:20,16,1900-01-01 20:25:00,1900-01-01 21:15:00
2834,2834,RELI, 121,Carolina Hall,0104,F,15:35 - 16:25,18,1900-01-01 21:45:00,1900-01-01 22:35:00
1600,1600,GEOG, 437,Carolina Hall,0204,MWF,10:10 - 11:00,21,1900-01-01 10:10:00,1900-01-01 11:00:00
1582,1582,GEOG, 215,Carolina Hall,0204,MWF,11:15 - 12:05,21,1900-01-01 11:30:00,1900-01-01 12:20:00
831,831,COMM, 171,Carolina Hall,0204,MWF,12:20 - 13:10,25,1900-01-01 12:50:00,1900-01-01 13:40:00
1601,1601,GEOG, 451,Carolina Hall,0204,MWF,13:25 - 14:15,15,1900-01-01 14:10:00,1900-01-01 15:00:00
1603,1603,GEOG, 458,Carolina Hall,0204,MWF,14:30 - 15:20,8,1900-01-01 15:30:00,1900-01-01 16:20:00
1766,1766,HIST, 127,Carolina Hall,0213,F,09:05 - 09:55,18,1900-01-01 09:05:00,1900-01-01 09:55:00
1833,1833,HIST, 144,Carolina Hall,0213,F,10:10 - 11:00,16,1900-01-01 10:25:00,1900-01-01 11:15:00
3248,3248,WGST, 144,Carolina Hall,0213,F,10:10 - 11:00,1,1900-01-01 11:45:00,1900-01-01 12:35:00
1835,1835,HIST, 144,Carolina Hall,0213,F,11:15 - 12:05,15,1900-01-01 13:05:00,1900-01-01 13:55:00
3250,3250,WGST, 144,Carolina Hall,0213,F,11:15 - 12:05,2,1900-01-01 14:25:00,1900-01-01 15:15:00
1791,1791,HIST, 128,Carolina Hall,0213,F,12:20 - 13:10,16,1900-01-01 15:45:00,1900-01-01 16:35:00
2484,2484,PLCY, 698,Carolina Hall,0213,F,13:25 - 14:15,16,1900-01-01 17:05:00,1900-01-01 17:55:00
4,4,AAAD, 201,Carolina Hall,0220,MWF,08:00 - 08:50,32,1900-01-01 08:00:00,1900-01-01 08:50:00
1583,1583,GEOG, 225,Carolina Hall,0220,MWF,09:05 - 09:55,43,1900-01-01 09:20:00,1900-01-01 10:10:00
3261,3261,WGST, 225,Carolina Hall,0220,MWF,09:05 - 09:55,5,1900-01-01 10:40:00,1900-01-01 11:30:00
27,27,LGLA, 403,Carolina Hall,0220,MWF,10:10 - 11:00,8,1900-01-01 12:00:00,1900-01-01 12:50:00
1585,1585,GEOG, 237,Carolina Hall,0220,MWF,11:15 - 12:05,17,1900-01-01 13:20:00,1900-01-01 14:10:00
1586,1586,GEOG, 261,Carolina Hall,0220,MWF,13:25 - 14:15,22,1900-01-01 14:40:00,1900-01-01 15:30:00
1587,1587,GEOG, 266,Carolina Hall,0220,MWF,14:30 - 15:20,23,1900-01-01 16:00:00,1900-01-01 16:50:00
1315,1315,ECON, 384,Carolina Hall,0322,F,09:05 - 09:55,3,1900-01-01 09:05:00,1900-01-01 09:55:00
2305,2305,PHIL, 384,Carolina Hall,0322,F,09:05 - 09:55,21,1900-01-01 10:25:00,1900-01-01 11:15:00
2601,2601,POLI, 384,Carolina Hall,0322,F,09:05 - 09:55,1,1900-01-01 11:45:00,1900-01-01 12:35:00
3032,3032,SPAN, 203,Carolina Hall,0322,MWF,10:10 - 11:00,19,1900-01-01 13:05:00,1900-01-01 13:55:00
3070,3070,SPAN, 204,Carolina Hall,0322,MWF,11:15 - 12:05,17,1900-01-01 14:25:00,1900-01-01 15:15:00
2836,2836,RELI, 121,Carolina Hall,0322,F,13:25 - 14:15,20,1900-01-01 15:45:00,1900-01-01 16:35:00
2791,2791,JWST, 103,Carolina Hall,0322,F,14:30 - 15:20,2,1900-01-01 17:05:00,1900-01-01 17:55:00
2816,2816,RELI, 103,Carolina Hall,0322,F,14:30 - 15:20,9,1900-01-01 18:25:00,1900-01-01 19:15:00
3878,3878,BIOC, 107,Carroll,0111,MWF,09:05 - 09:55,121,1900-01-01 09:05:00,1900-01-01 09:55:00
3731,3731,MEJO, 137,Carroll,0143,F,13:00 - 15:45,33,1900-01-01 13:00:00,1900-01-01 15:45:00
3856,3856,MEJO, 890,Carroll,340A,F,12:30 - 15:15,9,1900-01-01 12:30:00,1900-01-01 15:15:00
946,946,DRAM, 135,Center for Dramatic ,0103,MWF,08:00 - 08:50,18,1900-01-01 08:00:00,1900-01-01 08:50:00
970,970,DRAM, 720,Center for Dramatic ,0103,WF,09:15 - 12:10,6,1900-01-01 09:20:00,1900-01-01 12:15:00
973,973,DRAM, 726,Center for Dramatic ,0103,MTuWThFSaS,13:00 - 18:00,6,1900-01-01 13:00:00,1900-01-01 18:00:00
945,945,DRAM, 135,Center for Dramatic ,0104,MWF,08:00 - 08:50,18,1900-01-01 08:00:00,1900-01-01 08:50:00
957,957,DRAM, 281,Center for Dramatic ,0105,MWF,09:05 - 09:55,36,1900-01-01 09:05:00,1900-01-01 09:55:00
951,951,DRAM, 193,Center for Dramatic ,0125,MWF,19:00 - 19:50,33,1900-01-01 19:00:00,1900-01-01 19:50:00
969,969,DRAM, 650,Center for Dramatic ,0247,MWF,08:00 - 09:55,3,1900-01-01 08:00:00,1900-01-01 09:55:00
976,976,DRAM, 772,Center for Dramatic ,0247,F,10:05 - 12:10,5,1900-01-01 10:25:00,1900-01-01 12:30:00
977,977,DRAM, 790,Center for Dramatic ,0247,MTuWThF,13:00 - 17:00,2,1900-01-01 13:00:00,1900-01-01 17:00:00
978,978,DRAM, 792,Center for Dramatic ,0247,MTuWThF,13:00 - 17:00,3,1900-01-01 17:30:00,1900-01-01 21:30:00
987,987,DRAM, 992,Center for Dramatic ,0247,MTuWThF,13:00 - 17:00,2,1900-01-01 22:00:00,1900-01-02 02:00:00
950,950,DRAM, 192,Center for Dramatic ,0247,MWF,13:25 - 15:15,11,1900-01-02 02:30:00,1900-01-02 04:20:00
713,713,CHEM, 481,Chapman Hall,0125,MWF,10:10 - 11:00,71,1900-01-01 10:10:00,1900-01-01 11:00:00
712,712,CHEM, 480,Chapman Hall,0125,MWF,11:15 - 12:05,89,1900-01-01 11:30:00,1900-01-01 12:20:00
744,744,CHEM, 761,Chapman Hall,0125,F,12:20 - 13:10,38,1900-01-01 12:50:00,1900-01-01 13:40:00
2361,2361,PHYS, 118,Chapman Hall,0201,MWF,08:00 - 08:50,94,1900-01-01 08:00:00,1900-01-01 08:50:00
2362,2362,PHYS, 118,Chapman Hall,0201,MWF,09:05 - 09:55,157,1900-01-01 09:20:00,1900-01-01 10:10:00
2055,2055,MATH, 231,Chapman Hall,0201,MWF,12:20 - 13:10,159,1900-01-01 12:20:00,1900-01-01 13:10:00
2081,2081,MATH, 232,Chapman Hall,0201,MWF,13:25 - 14:15,119,1900-01-01 13:40:00,1900-01-01 14:30:00
1872,1872,HIST, 213,Chapman Hall,0201,MWF,14:30 - 15:20,176,1900-01-01 15:00:00,1900-01-01 15:50:00
2744,2744,PWAD, 213,Chapman Hall,0201,MWF,14:30 - 15:20,23,1900-01-01 16:20:00,1900-01-01 17:10:00
2344,2344,PHYS, 114,Chapman Hall,0211,MWF,08:00 - 08:50,189,1900-01-01 08:00:00,1900-01-01 08:50:00
2345,2345,PHYS, 114,Chapman Hall,0211,MWF,09:05 - 09:55,216,1900-01-01 09:20:00,1900-01-01 10:10:00
683,683,CHEM, 251,Chapman Hall,0211,MWF,10:10 - 11:00,93,1900-01-01 10:40:00,1900-01-01 11:30:00
688,688,CHEM, 262,Chapman Hall,0211,MWF,11:15 - 12:05,227,1900-01-01 12:00:00,1900-01-01 12:50:00
2334,2334,ASTR, 101L,Chapman Hall,0235,F,14:30 - 16:20,26,1900-01-01 14:30:00,1900-01-01 16:20:00
1951,1951,HIST, 585,Cobb Hall,0021,F,09:05 - 09:55,14,1900-01-01 09:05:00,1900-01-01 09:55:00
1948,1948,HIST, 585,Cobb Hall,0021,F,10:10 - 11:00,12,1900-01-01 10:25:00,1900-01-01 11:15:00
1952,1952,HIST, 585,Cobb Hall,0021,F,11:15 - 12:05,14,1900-01-01 11:45:00,1900-01-01 12:35:00
1953,1953,HIST, 585,Cobb Hall,0021,F,12:20 - 13:10,14,1900-01-01 13:05:00,1900-01-01 13:55:00
1901,1901,HIST, 278,Cobb Hall,0021,F,13:25 - 14:15,8,1900-01-01 14:25:00,1900-01-01 15:15:00
1770,1770,HIST, 127,Cobb Hall,0024,F,09:05 - 09:55,15,1900-01-01 09:05:00,1900-01-01 09:55:00
535,535,BIOL, 422,Coker,0201,MWF,09:05 - 09:55,54,1900-01-01 09:05:00,1900-01-01 09:55:00
2678,2678,PSYC, 242,Coker,0201,MWF,10:10 - 11:00,118,1900-01-01 10:25:00,1900-01-01 11:15:00
2466,2466,PLCY, 340,Coker,0201,MWF,11:15 - 12:05,144,1900-01-01 11:45:00,1900-01-01 12:35:00
913,913,COMP, 447,Coker,0201,MWF,12:20 - 13:10,45,1900-01-01 13:05:00,1900-01-01 13:55:00
2390,2390,PHYS, 447,Coker,0201,MWF,12:20 - 13:10,18,1900-01-01 14:25:00,1900-01-01 15:15:00
482,482,BIOL, 205,Coker,0201,MWF,14:30 - 15:20,175,1900-01-01 15:45:00,1900-01-01 16:35:00
2271,2271,PHIL, 160,Davie,0101,F,08:00 - 08:50,24,1900-01-01 08:00:00,1900-01-01 08:50:00
2722,2722,PSYC, 693H,Davie,0101,F,09:05 - 10:20,12,1900-01-01 09:20:00,1900-01-01 10:35:00
2917,2917,FREN, 260,Davie,0101,MWF,11:15 - 12:05,13,1900-01-01 11:15:00,1900-01-01 12:05:00
1926,1926,HIST, 369,Davie,0101,F,12:20 - 13:10,15,1900-01-01 12:35:00,1900-01-01 13:25:00
2768,2768,PWAD, 369,Davie,0101,F,12:20 - 13:10,5,1900-01-01 13:55:00,1900-01-01 14:45:00
2726,2726,PSYC, 830,Davie,0101,F,15:35 - 16:45,25,1900-01-01 15:35:00,1900-01-01 16:45:00
2662,2662,PSYC, 210,Davie,0110,F,16:40 - 17:30,21,1900-01-01 16:40:00,1900-01-01 17:30:00
2663,2663,PSYC, 210,Davie,0110,F,17:45 - 18:35,19,1900-01-01 18:00:00,1900-01-01 18:50:00
1410,1410,ENEC, 202,Davie,0112,MWF,09:05 - 09:55,55,1900-01-01 09:05:00,1900-01-01 09:55:00
176,176,ANTH, 238,Davie,0112,MWF,10:10 - 11:00,46,1900-01-01 10:25:00,1900-01-01 11:15:00
1415,1415,ENEC, 238,Davie,0112,MWF,10:10 - 11:00,2,1900-01-01 11:45:00,1900-01-01 12:35:00
3175,3175,SOCI, 274,Davie,0112,MWF,13:25 - 14:15,72,1900-01-01 13:25:00,1900-01-01 14:15:00
1414,1414,ENEC, 203,Davie,0301,MWF,10:10 - 11:00,43,1900-01-01 10:10:00,1900-01-01 11:00:00
1840,1840,HIST, 151,Davie,0301,MWF,11:15 - 12:05,42,1900-01-01 11:30:00,1900-01-01 12:20:00
2281,2281,PHIL, 165,Davie,0301,MWF,13:25 - 14:15,39,1900-01-01 13:25:00,1900-01-01 14:15:00
2683,2683,PSYC, 245,Davie,0301,MWF,16:40 - 17:30,44,1900-01-01 16:40:00,1900-01-01 17:30:00
2682,2682,PSYC, 245,Davie,0301,MWF,17:45 - 18:35,45,1900-01-01 18:00:00,1900-01-01 18:50:00
2986,2986,SPAN, 101,Dey Hall,0101,WF,09:05 - 09:55,20,1900-01-01 09:05:00,1900-01-01 09:55:00
2987,2987,SPAN, 101,Dey Hall,0101,WF,10:10 - 11:00,20,1900-01-01 10:25:00,1900-01-01 11:15:00
2988,2988,SPAN, 101,Dey Hall,0101,WF,11:15 - 12:05,21,1900-01-01 11:45:00,1900-01-01 12:35:00
2989,2989,SPAN, 101,Dey Hall,0101,WF,12:20 - 13:10,20,1900-01-01 13:05:00,1900-01-01 13:55:00
2994,2994,SPAN, 102,Dey Hall,0101,WF,13:25 - 14:15,19,1900-01-01 14:25:00,1900-01-01 15:15:00
2985,2985,SPAN, 101,Dey Hall,0102,WF,08:00 - 08:50,22,1900-01-01 08:00:00,1900-01-01 08:50:00
3119,3119,SPAN, 344,Dey Hall,0102,MWF,11:15 - 12:05,23,1900-01-01 11:15:00,1900-01-01 12:05:00
3045,3045,SPAN, 203,Dey Hall,0102,MWF,12:20 - 13:10,18,1900-01-01 12:35:00,1900-01-01 13:25:00
3056,3056,SPAN, 203,Dey Hall,0102,MWF,13:25 - 14:15,19,1900-01-01 13:55:00,1900-01-01 14:45:00
3092,3092,SPAN, 261,Dey Hall,0102,MWF,14:30 - 15:20,18,1900-01-01 15:15:00,1900-01-01 16:05:00
3029,3029,SPAN, 203,Dey Hall,0201,MWF,09:05 - 09:55,19,1900-01-01 09:05:00,1900-01-01 09:55:00
3128,3128,SPAN, 401,Dey Hall,0201,MWF,10:10 - 11:00,16,1900-01-01 10:25:00,1900-01-01 11:15:00
785,785,COMM,  89,Dey Hall,0201,MWF,11:15 - 12:05,22,1900-01-01 11:45:00,1900-01-01 12:35:00
3074,3074,SPAN, 204,Dey Hall,0201,MWF,12:20 - 13:10,19,1900-01-01 13:05:00,1900-01-01 13:55:00
3091,3091,SPAN, 261,Dey Hall,0201,MWF,13:25 - 14:15,19,1900-01-01 14:25:00,1900-01-01 15:15:00
3059,3059,SPAN, 203,Dey Hall,0201,MWF,14:30 - 15:20,19,1900-01-01 15:45:00,1900-01-01 16:35:00
2995,2995,SPAN, 105,Dey Hall,0202,MWF,08:00 - 08:50,17,1900-01-01 08:00:00,1900-01-01 08:50:00
3027,3027,SPAN, 203,Dey Hall,0202,MWF,09:05 - 09:55,19,1900-01-01 09:20:00,1900-01-01 10:10:00
3096,3096,SPAN, 267,Dey Hall,0202,MWF,10:10 - 11:00,25,1900-01-01 10:40:00,1900-01-01 11:30:00
3123,3123,SPAN, 369,Dey Hall,0202,MWF,11:15 - 12:05,19,1900-01-01 12:00:00,1900-01-01 12:50:00
3073,3073,SPAN, 204,Dey Hall,0202,MWF,12:20 - 13:10,15,1900-01-01 13:20:00,1900-01-01 14:10:00
3081,3081,SPAN, 255H,Dey Hall,0202,MWF,13:25 - 14:15,6,1900-01-01 14:40:00,1900-01-01 15:30:00
3082,3082,SPAN, 255H,Dey Hall,0202,MWF,13:25 - 14:15,3,1900-01-01 16:00:00,1900-01-01 16:50:00
3057,3057,SPAN, 203,Dey Hall,0202,MWF,14:30 - 15:20,16,1900-01-01 17:20:00,1900-01-01 18:10:00
3028,3028,SPAN, 203,Dey Hall,0203,MWF,09:05 - 09:55,19,1900-01-01 09:05:00,1900-01-01 09:55:00
3114,3114,SPAN, 329,Dey Hall,0203,MWF,10:10 - 11:00,10,1900-01-01 10:25:00,1900-01-01 11:15:00
2959,2959,PORT, 102,Dey Hall,0203,MWF,11:15 - 12:05,25,1900-01-01 11:45:00,1900-01-01 12:35:00
3075,3075,SPAN, 204,Dey Hall,0203,MWF,12:20 - 13:10,19,1900-01-01 13:05:00,1900-01-01 13:55:00
3090,3090,SPAN, 261,Dey Hall,0203,MWF,13:25 - 14:15,18,1900-01-01 14:25:00,1900-01-01 15:15:00
3058,3058,SPAN, 203,Dey Hall,0203,MWF,14:30 - 15:20,19,1900-01-01 15:45:00,1900-01-01 16:35:00
2893,2893,FREN, 105,Dey Hall,0204,MWF,08:00 - 08:50,18,1900-01-01 08:00:00,1900-01-01 08:50:00
3025,3025,SPAN, 203,Dey Hall,0204,MWF,09:05 - 09:55,19,1900-01-01 09:20:00,1900-01-01 10:10:00
3079,3079,SPAN, 255,Dey Hall,0204,MWF,10:10 - 11:00,18,1900-01-01 10:40:00,1900-01-01 11:30:00
3101,3101,SPAN, 301,Dey Hall,0204,MWF,11:15 - 12:05,20,1900-01-01 12:00:00,1900-01-01 12:50:00
3049,3049,SPAN, 203,Dey Hall,0204,MWF,12:20 - 13:10,21,1900-01-01 13:20:00,1900-01-01 14:10:00
3055,3055,SPAN, 203,Dey Hall,0204,MWF,13:25 - 14:15,19,1900-01-01 14:40:00,1900-01-01 15:30:00
3020,3020,SPAN, 203,Dey Hall,0205,MWF,08:00 - 08:50,19,1900-01-01 08:00:00,1900-01-01 08:50:00
3064,3064,SPAN, 204,Dey Hall,0205,MWF,09:05 - 09:55,19,1900-01-01 09:20:00,1900-01-01 10:10:00
2976,2976,ROML, 700,Dey Hall,0205,MWF,10:10 - 11:00,11,1900-01-01 10:40:00,1900-01-01 11:30:00
73,73,AMST, 294,Dey Hall,0205,MWF,11:15 - 12:05,12,1900-01-01 12:00:00,1900-01-01 12:50:00
2965,2965,PORT, 203,Dey Hall,0205,MWF,12:20 - 13:10,17,1900-01-01 13:20:00,1900-01-01 14:10:00
3005,3005,SPAN, 105,Dey Hall,0206,MWF,09:05 - 09:55,18,1900-01-01 09:05:00,1900-01-01 09:55:00
3067,3067,SPAN, 204,Dey Hall,0206,MWF,10:10 - 11:00,19,1900-01-01 10:25:00,1900-01-01 11:15:00
3072,3072,SPAN, 204,Dey Hall,0206,MWF,11:15 - 12:05,21,1900-01-01 11:45:00,1900-01-01 12:35:00
3046,3046,SPAN, 203,Dey Hall,0206,MWF,12:20 - 13:10,20,1900-01-01 13:05:00,1900-01-01 13:55:00
3052,3052,SPAN, 203,Dey Hall,0206,MWF,13:25 - 14:15,18,1900-01-01 14:25:00,1900-01-01 15:15:00
2933,2933,ITAL, 101,Dey Hall,0206,MWF,14:30 - 15:20,16,1900-01-01 15:45:00,1900-01-01 16:35:00
3026,3026,SPAN, 203,Dey Hall,0208,MWF,09:05 - 09:55,18,1900-01-01 09:05:00,1900-01-01 09:55:00
3085,3085,SPAN, 261,Dey Hall,0208,MWF,10:10 - 11:00,18,1900-01-01 10:25:00,1900-01-01 11:15:00
3115,3115,SPAN, 329,Dey Hall,0208,MWF,11:15 - 12:05,19,1900-01-01 11:45:00,1900-01-01 12:35:00
